NPA_ID,LOCATION,COUNTRY,TIME_ZONE
201,NJ,US,E
202,DC,US,E
203,CT,US,E
204,MANITOBA,CANADA,C
205,AL,US,C
206,WA,US,P
207,ME,US,E
208,ID,US,MP
209,CA,US,P
210,TX,US,C
212,NY,US,E
213,CA,US,P
214,TX,US,C
215,PA,US,E
216,OH,US,E
217,IL,US,C
218,MN,US,C
219,IN,US,EC
220,OH,US,E
223,PA,US,E
224,IL,US,C
225,LA,US,C
226,ONTARIO,CANADA,E
227,MD,US,E
228,MS,US,C
229,GA,US,E
231,MI,US,E
234,OH,US,E
235,MO,US,C
236,BRITISH COLUMBIA,CANADA,P
239,FL,US,E
240,MD,US,E
242,BAHAMAS,BAHAMAS,E
246,BARBADOS,BARBADOS,A
248,MI,US,E
249,ONTARIO,CANADA,E
250,BRITISH COLUMBIA,CANADA,P
251,AL,US,C
252,NC,US,E
253,WA,US,P
254,TX,US,C
256,AL,US,C
257,BRITISH COLUMBIA,CANADA,P
260,IN,US,E
262,WI,US,C
263,QUEBEC,CANADA,E
264,ANGUILLA,ANGUILLA,A
267,PA,US,E
268,ANTIGUA/BARBUDA,ANTIGUA/BARBUDA,A
269,MI,US,E
270,KY,US,EC
272,PA,US,E
273,QUEBEC,CANADA,E
274,WI,US,C
276,VA,US,E
279,CA,US,P
281,TX,US,C
283,OH,US,E
284,BRITISH VIRGIN ISLANDS,BRITISH VIRGIN ISLANDS,A
289,ONTARIO,CANADA,E
301,MD,US,E
302,DE,US,E
303,CO,US,M
304,WV,US,E
305,FL,US,E
306,SASKATCHEWAN,CANADA,C
307,WY,US,M
308,NE,US,CM
309,IL,US,C
310,CA,US,P
312,IL,US,C
313,MI,US,E
314,MO,US,C
315,NY,US,E
316,KS,US,C
317,IN,US,E
318,LA,US,C
319,IA,US,C
320,MN,US,C
321,FL,US,E
323,CA,US,P
324,FL,US,E
325,TX,US,C
326,OH,US,E
327,AR,US,C
329,NY,US,E
330,OH,US,E
331,IL,US,C
332,NY,US,E
334,AL,US,C
336,NC,US,E
337,LA,US,C
339,MA,US,E
340,VI,US,A
341,CA,US,P
343,ONTARIO,CANADA,E
345,CAYMAN ISLANDS,CAYMAN ISLANDS,E
346,TX,US,C
347,NY,US,E
350,CA,US,P
351,MA,US,E
352,FL,US,E
353,WI,US,C
354,QUEBEC,CANADA,E
357,CA,US,P
360,WA,US,P
361,TX,US,C
363,NY,US,E
364,KY,US,EC
365,ONTARIO,CANADA,E
367,QUEBEC,CANADA,E
368,ALBERTA,CANADA,M
369,CA,US,P
380,OH,US,E
382,ONTARIO,CANADA,E
385,UT,US,M
386,FL,US,E
401,RI,US,E
402,NE,US,C
403,ALBERTA,CANADA,M
404,GA,US,E
405,OK,US,C
406,MT,US,M
407,FL,US,E
408,CA,US,P
409,TX,US,C
410,MD,US,E
412,PA,US,E
413,MA,US,E
414,WI,US,C
415,CA,US,P
416,ONTARIO,CANADA,E
417,MO,US,C
418,QUEBEC,CANADA,E
419,OH,US,E
423,TN,US,EC
424,CA,US,P
425,WA,US,P
428,NEW BRUNSWICK,CANADA,A
430,TX,US,C
431,MANITOBA,CANADA,C
432,TX,US,C
434,VA,US,E
435,UT,US,M
436,OH,US,E
437,ONTARIO,CANADA,E
438,QUEBEC,CANADA,E
440,OH,US,E
441,BERMUDA,BERMUDA,A
442,CA,US,P
443,MD,US,E
445,PA,US,E
447,IL,US,C
448,FL,US,EC
450,QUEBEC,CANADA,E
457,LA,US,C
458,OR,US,MP
463,IN,US,E
464,IL,US,C
465,NY,US,E
468,QUEBEC,CANADA,E
469,TX,US,C
470,GA,US,E
471,MS,US,C
472,NC,US,E
473,GRENADA,GRENADA,A
474,SASKATCHEWAN,CANADA,C
475,CT,US,E
478,GA,US,E
479,AR,US,C
480,AZ,US,M
483,AL,US,C
484,PA,US,E
500,NANP AREA,,E
501,AR,US,C
502,KY,US,E
503,OR,US,P
504,LA,US,C
505,NM,US,M
506,NEW BRUNSWICK,CANADA,A
507,MN,US,C
508,MA,US,E
509,WA,US,P
510,CA,US,P
512,TX,US,C
513,OH,US,E
514,QUEBEC,CANADA,E
515,IA,US,C
516,NY,US,E
517,MI,US,E
518,NY,US,E
519,ONTARIO,CANADA,E
520,AZ,US,M
521,,,E
522,NANP AREA,,E
523,,,E
524,,,E
525,,,E
526,,US,E
